date,name,type
2013-01-01,New Year's Day,Federal Holiday
2013-01-04,World Braille Day,Worldwide observance
2013-01-06,Epiphany,Christian
2013-01-07,Orthodox Christmas Day,Orthodox
2013-01-07,International Programmers' Day,Worldwide observance
2013-01-13,Stephen Foster Memorial Day,Observance
2013-01-14,Orthodox New Year,Orthodox
2013-01-18,Lee-Jackson Day,State holiday
2013-01-19,Robert E. Lee's Birthday,State Legal Holiday
2013-01-19,Confederate Heroes' Day,State holiday
2013-01-20,World Religion Day,Worldwide observance
2013-01-20,Inauguration Day,Federal Holiday
2013-01-20,Inauguration Day,State holiday
2013-01-21,Martin Luther King Jr. Day,Federal Holiday
2013-01-21,Robert E. Lee's Birthday,State holiday
2013-01-21,Idaho Human Rights Day,State holiday
2013-01-21,Civil Rights Day,State holiday
2013-01-24,The Prophet's Birthday,Muslim
2013-01-26,Tu Bishvat/Tu B'Shevat,Jewish holiday
2013-01-26,International Customs Day,Worldwide observance
2013-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
2013-01-27,World Leprosy Day,Worldwide observance
2013-01-29,Kansas Day,State Observation
2013-02-01,National Freedom Day,Observance
2013-02-01,National Wear Red Day,Observance
2013-02-01,First Day of Black History Month,Annual monthly observance
2013-02-02,World Wetlands Day,Worldwide observance
2013-02-02,Groundhog Day,Observance
2013-02-03,Super Bowl,Sporting event
2013-02-04,World Cancer Day,Worldwide observance
2013-02-04,Rosa Parks Day,Local observance
2013-02-04,Rosa Parks Day,State Observation
2013-02-06,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
2013-02-06,Ronald Reagan Day,State Observation
2013-02-10,Lunar New Year,Observance
2013-02-11,World Day of the Sick,Worldwide observance
2013-02-12,Lincoln's Birthday,State holiday
2013-02-12,Georgia Day,State Observation
2013-02-12,Shrove Tuesday/Mardi Gras,State holiday
2013-02-12,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2013-02-13,Ash Wednesday,Christian
2013-02-13,World Radio Day,United Nations observance
2013-02-14,Valentine's Day,Observance
2013-02-14,Statehood Day,Local observance
2013-02-15,Susan B. Anthony's Birthday,State Observation
2013-02-16,Elizabeth Peratrovich Day,State Observation
2013-02-18,Presidents' Day,Federal Holiday
2013-02-18,Presidents' Day,State holiday
2013-02-18,Presidents' Day,State Legal Holiday
2013-02-18,Daisy Gatson Bates Day,State holiday
2013-02-20,World Day of Social Justice,United Nations observance
2013-02-21,International Mother Language Day,United Nations observance
2013-02-24,Purim,Jewish holiday
2013-02-25,George Rogers Clark Day,State Observation
2013-02-28,Linus Pauling Day,Local observance
2013-03-01,Self-Injury Awareness Day,Worldwide observance
2013-03-01,St. David's Day,"Observance, Christian"
2013-03-01,Read Across America Day,Observance
2013-03-01,Employee Appreciation Day,Observance
